"","from","to","num_pixels"
"1189",4434,4224,0
"1190",4434,4234,0
"1191",4434,4324,0
"1192",4434,5124,0
"1193",4434,5134,0
"1194",4434,5224,0
"1195",4434,5234,0
"1196",4434,5324,0
"1197",4434,7124,0
"1198",4434,7134,0
"1199",4434,7224,0
"1200",4434,7234,0
"1201",4434,7324,0
"1202",4434,8124,0
"1203",4434,8224,0
"1204",4434,8324,0
"1205",4434,9124,0
"1206",4434,9134,0
"1207",4434,9224,0
"1208",4434,9234,0
"1209",4434,9324,0
"1210",4434,9424,0
"1211",4434,10124,0
"1212",4434,10134,0
"1213",4434,10224,0
"1214",4434,10234,0
"1215",4434,10324,0
"1216",4434,10424,0
"1217",5124,2134,0
"1218",5124,2224,0
"1219",5124,2234,0
"1220",5124,2324,0
"1221",5124,2424,0
"1222",5124,3134,0
"1223",5124,3224,0
"1224",5124,3234,0
"1225",5124,3324,0
"1226",5124,3424,0
"1227",5124,4134,0
"1228",5124,4224,0
"1229",5124,4234,0
"1230",5124,4324,0
"1231",5124,4424,0
"1232",5124,5134,0
"1233",5124,5224,0
"1234",5124,5234,0
"1235",5124,5324,0
"1236",5124,5424,0
"1237",5124,7134,0
"1238",5124,7224,0
"1239",5124,7234,0
"1240",5124,7324,0
"1241",5124,7424,0
"1242",5124,8224,0
